task,dataset,objective,noise_std_fraction,seed,final_loss,eval_trustworthiness,eval_neighborhood_recall,eval_silhouette,eval_knn_accuracy
tsne,blobs,fisher_rao,0.5,202,0.7282396554946899,0.9510785907859078,0.327,0.7956141829490662,1.0
tsne,blobs,kl,0.5,303,0.33344894647598267,0.9506233062330623,0.3325,0.7531192302703857,1.0
tsne,blobs,fisher_rao,0.5,303,0.7202252149581909,0.9522439024390243,0.344,0.7948086261749268,1.0
tsne,blobs,kl,0.5,404,0.3513808250427246,0.9513983739837398,0.32949999999999996,0.7381232976913452,0.9833333333333333
tsne,blobs,fisher_rao,0.5,404,0.7563047409057617,0.9521951219512195,0.32549999999999996,0.7765213251113892,0.9833333333333333
tsne,blobs,kl,0.5,505,0.3507356345653534,0.9515826558265583,0.3135,0.7473618388175964,0.9833333333333333
tsne,blobs,fisher_rao,0.5,505,0.7561187148094177,0.9522520325203252,0.34,0.786550760269165,0.9833333333333333
tsne,blobs,kl,0.75,101,0.5234969854354858,0.9227046070460705,0.271,0.5749885439872742,0.9666666666666667
tsne,blobs,fisher_rao,0.75,101,1.0477275848388672,0.921590785907859,0.28,0.5978494882583618,0.95
tsne,blobs,kl,0.75,202,0.48593854904174805,0.9324010840108401,0.267,0.6120159029960632,0.9666666666666667
tsne,blobs,fisher_rao,0.75,202,1.0077571868896484,0.9334552845528455,0.26299999999999996,0.6598725318908691,0.95
tsne,blobs,kl,0.75,303,0.4526817500591278,0.9305691056910569,0.2915,0.5793090462684631,0.9333333333333333
tsne,blobs,fisher_rao,0.75,303,0.9755961298942566,0.9282953929539295,0.28300000000000003,0.6105793118476868,0.95
tsne,blobs,kl,0.75,404,0.48824238777160645,0.9203035230352303,0.26899999999999996,0.5777034163475037,0.95
tsne,blobs,fisher_rao,0.75,404,1.0191181898117065,0.9213794037940379,0.2595,0.6029708981513977,0.9166666666666666
tsne,blobs,kl,0.75,505,0.4934675693511963,0.9186124661246613,0.2755,0.5512298345565796,0.9333333333333333
tsne,blobs,fisher_rao,0.75,505,1.0999011993408203,0.9246124661246613,0.267,0.5963472127914429,0.95
tsne,blobs,kl,1.0,101,0.6813679933547974,0.855070460704607,0.198,0.34586265683174133,0.8
tsne,blobs,fisher_rao,1.0,101,1.5341569185256958,0.8370081300813008,0.1885,0.26105767488479614,0.7666666666666667
tsne,blobs,kl,1.0,202,0.6607823371887207,0.8648644986449865,0.2245,0.38285380601882935,0.9333333333333333
tsne,blobs,fisher_rao,1.0,202,1.3501931428909302,0.8622005420054201,0.21899999999999997,0.3917883336544037,0.9333333333333333
tsne,blobs,kl,1.0,303,0.6173794269561768,0.8636314363143631,0.20149999999999998,0.36820805072784424,0.7666666666666667
tsne,blobs,fisher_rao,1.0,303,1.3165096044540405,0.852479674796748,0.19400000000000003,0.3399966061115265,0.7833333333333333
tsne,blobs,kl,1.0,404,0.6869127154350281,0.8591355013550135,0.21450000000000002,0.31961700320243835,0.7333333333333333
tsne,blobs,fisher_rao,1.0,404,1.40151846408844,0.8425284552845529,0.205,0.2787582278251648,0.6833333333333333
tsne,blobs,kl,1.0,505,0.7285587191581726,0.8544092140921409,0.20799999999999996,0.34876197576522827,0.8
tsne,blobs,fisher_rao,1.0,505,1.432857632637024,0.8470054200542005,0.1965,0.34109213948249817,0.8166666666666667
tsne,digits,kl,0.0,101,0.4822835326194763,0.9306260162601626,0.581,0.22698143124580383,0.8833333333333333
tsne,digits,fisher_rao,0.0,101,0.9422019720077515,0.943130081300813,0.5815,0.1789712905883789,0.8166666666666667
tsne,digits,kl,0.0,202,0.4856516122817993,0.9307506775067751,0.578,0.2782866954803467,0.85
tsne,digits,fisher_rao,0.0,202,0.9655045866966248,0.9213848238482385,0.5790000000000001,0.2237609326839447,0.8833333333333333
tsne,digits,kl,0.0,303,0.4790770411491394,0.9430243902439024,0.5925,0.2529735565185547,0.9
tsne,digits,fisher_rao,0.0,303,1.021471381187439,0.9242628726287263,0.566,0.17424428462982178,0.8666666666666667
tsne,digits,kl,0.0,404,0.5127000212669373,0.9221273712737127,0.567,0.1630435585975647,0.8833333333333333
