experiment,dataset,corruption_type,stress_level,seed,objective,eval_accuracy,eval_nll,eval_ece,eval_brier,eval_mean_true_probability,eval_train_corrupted_fraction,eval_teacher_accuracy,eval_teacher_error_imitation,eval_accuracy_on_teacher_wrong,eval_teacher_student_js
distillation,digits,clean,0.0,202,jensen_shannon,0.9351851851851852,0.4265020787715912,0.05137616125521832,0.10909174382686615,0.9353782534599304,0.0,0.9407407407407408,0.59375,0.1875,0.022776208817958832
distillation,digits,clean,0.0,202,hellinger,0.9444444444444444,0.36571556329727173,0.040989640244731174,0.09385999292135239,0.9408819079399109,0.0,0.9407407407407408,0.5625,0.28125,0.0178051870316267
distillation,digits,clean,0.0,202,fisher_rao,0.9407407407407408,0.3724023997783661,0.044760240504035285,0.09916935116052628,0.9391252994537354,0.0,0.9407407407407408,0.6875,0.15625,0.014664828777313232
distillation,digits,low_temperature,0.1,202,kl,0.9388888888888889,0.3720059096813202,0.04858370721340184,0.10733624547719955,0.9339503049850464,1.0,0.9407407407407408,0.875,0.0625,0.006730836350470781
distillation,digits,low_temperature,0.1,202,kl_smoothed,0.9407407407407408,0.34327995777130127,0.04669483028076318,0.10341950505971909,0.9357852339744568,1.0,0.9407407407407408,0.875,0.0625,0.005394499283283949
distillation,digits,low_temperature,0.1,202,kl_capped,0.9092592592592592,0.8932825922966003,0.0811431892492153,0.16675855219364166,0.9088408946990967,1.0,0.9407407407407408,0.59375,0.21875,0.037116244435310364
distillation,digits,low_temperature,0.1,202,jensen_shannon,0.9351851851851852,0.4276076853275299,0.051239983571900224,0.10961757600307465,0.9353060722351074,1.0,0.9407407407407408,0.59375,0.1875,0.023343661800026894
distillation,digits,low_temperature,0.1,202,hellinger,0.9425925925925925,0.35915112495422363,0.0423332821991709,0.09062451869249344,0.9424833059310913,1.0,0.9407407407407408,0.5625,0.25,0.01863987185060978
distillation,digits,low_temperature,0.1,202,fisher_rao,0.9407407407407408,0.3609660267829895,0.04410972771821204,0.09570922702550888,0.9402056932449341,1.0,0.9407407407407408,0.625,0.21875,0.015055536292493343
distillation,digits,low_temperature,0.3,202,kl,0.9407407407407408,0.36823973059654236,0.05034018997792844,0.10629820823669434,0.9345610737800598,1.0,0.9407407407407408,0.875,0.0625,0.006632920354604721
distillation,digits,low_temperature,0.3,202,kl_smoothed,0.9425925925925925,0.33925896883010864,0.04827909657248745,0.10220646858215332,0.9364476203918457,1.0,0.9407407407407408,0.875,0.0625,0.005267391446977854
distillation,digits,low_temperature,0.3,202,kl_capped,0.8277777777777777,2.5153231620788574,0.15361921903159878,0.32009485363960266,0.8273522853851318,1.0,0.9407407407407408,0.46875,0.3125,0.10512197017669678
distillation,digits,low_temperature,0.3,202,jensen_shannon,0.9333333333333333,0.44074028730392456,0.055188868001655345,0.11005830019712448,0.9345304369926453,1.0,0.9407407407407408,0.5625,0.21875,0.02381167933344841
distillation,digits,low_temperature,0.3,202,hellinger,0.9462962962962963,0.3770487904548645,0.040140043033493895,0.09190242737531662,0.9422449469566345,1.0,0.9407407407407408,0.53125,0.28125,0.020793315023183823
distillation,digits,low_temperature,0.3,202,fisher_rao,0.9444444444444444,0.3513345718383789,0.03808724184830984,0.09018506854772568,0.94252610206604,1.0,0.9407407407407408,0.59375,0.25,0.016107089817523956
distillation,digits,high_temperature,0.1,202,kl,0.9296296296296296,0.40799686312675476,0.05049398850511618,0.1173199936747551,0.9263135194778442,1.0,0.9407407407407408,0.90625,0.03125,0.008321578614413738
distillation,digits,high_temperature,0.1,202,kl_smoothed,0.9296296296296296,0.4133155643939972,0.05069069189053993,0.11733272671699524,0.9265369772911072,1.0,0.9407407407407408,0.90625,0.03125,0.008389977738261223
distillation,digits,high_temperature,0.1,202,kl_capped,0.8759259259259259,0.9697510600090027,0.09748490430690626,0.2191232442855835,0.8711371421813965,1.0,0.9407407407407408,0.71875,0.15625,0.05070769041776657
