dataset,noise_regime,objective,seed,eval_accuracy,eval_ece,eval_brier,eval_nll
digits,sym_80,sce,9,0.2444444444444444,0.4740205614103212,1.1481544971466064,4.07751989364624
digits,sym_80,hellinger,9,0.2333333333333333,0.440932225022051,1.1156270503997805,3.6940243244171143
digits,sym_80,fisher_rao,9,0.225,0.4517910608814822,1.1287716627120972,3.6830894947052
digits,asym_40,kl,0,0.5444444444444444,0.2855753040975994,0.7005724310874939,1.482993245124817
digits,asym_40,gce,0,0.5194444444444445,0.342548142042425,0.7672637701034546,1.901145815849304
digits,asym_40,mae,0,0.6055555555555555,0.2975326649016804,0.6532159447669983,1.8080095052719116
digits,asym_40,sce,0,0.5472222222222223,0.3475441224045223,0.7790504693984985,2.138646364212036
digits,asym_40,hellinger,0,0.5388888888888889,0.3140054206881258,0.7296397089958191,1.7040362358093262
digits,asym_40,fisher_rao,0,0.5138888888888888,0.3345532266630067,0.7420276403427124,1.7389802932739258
digits,asym_40,kl,1,0.6138888888888889,0.2168822400271892,0.5411138534545898,1.0750410556793213
digits,asym_40,gce,1,0.6333333333333333,0.235992309368319,0.5818780660629272,1.2525802850723269
digits,asym_40,mae,1,0.7138888888888889,0.1965475567513041,0.4718571007251739,1.1986974477767944
digits,asym_40,sce,1,0.6388888888888888,0.2504934962424966,0.5958425402641296,1.418539047241211
digits,asym_40,hellinger,1,0.625,0.2200138591229915,0.577132523059845,1.1932072639465332
digits,asym_40,fisher_rao,1,0.6277777777777778,0.219550223979685,0.5672464966773987,1.2003437280654907
digits,asym_40,kl,2,0.6333333333333333,0.2226042783922619,0.5733039975166321,1.2495390176773071
digits,asym_40,gce,2,0.6277777777777778,0.2483760118484497,0.6108763217926025,1.4692399501800537
digits,asym_40,mae,2,0.6944444444444444,0.2109066259529855,0.516758382320404,1.44453763961792
digits,asym_40,sce,2,0.6138888888888889,0.2675680759880278,0.6444635391235352,1.7578184604644775
digits,asym_40,hellinger,2,0.6277777777777778,0.2412408277392387,0.6002525091171265,1.3723982572555542
digits,asym_40,fisher_rao,2,0.6305555555555555,0.2379902197255029,0.5999369025230408,1.4193098545074463
digits,asym_40,kl,3,0.6305555555555555,0.2230874842239751,0.5951834917068481,1.280040264129639
digits,asym_40,gce,3,0.6083333333333333,0.2636904243793753,0.6291559338569641,1.580471754074097
digits,asym_40,mae,3,0.6472222222222223,0.2442124798066086,0.5800909399986267,1.6516379117965698
digits,asym_40,sce,3,0.6222222222222222,0.2614143792125913,0.6241382956504822,1.7660859823226929
digits,asym_40,hellinger,3,0.6111111111111112,0.2499185284806622,0.6172513961791992,1.4416930675506592
digits,asym_40,fisher_rao,3,0.6111111111111112,0.2494527104828092,0.6142999529838562,1.4447872638702393
digits,asym_40,kl,4,0.6111111111111112,0.2236001676155461,0.5904877781867981,1.1621311902999878
digits,asym_40,gce,4,0.6305555555555555,0.2345972506536377,0.5920351147651672,1.3103327751159668
digits,asym_40,mae,4,0.6805555555555556,0.2256713358892335,0.5293859839439392,1.362329125404358
digits,asym_40,sce,4,0.6138888888888889,0.2670436539583736,0.6231676936149597,1.5832017660140991
digits,asym_40,hellinger,4,0.6055555555555555,0.2459409266710281,0.6073254942893982,1.272558093070984
digits,asym_40,fisher_rao,4,0.6083333333333333,0.244610936111874,0.6106095314025879,1.2929134368896484
digits,asym_40,kl,5,0.5805555555555556,0.262114995966355,0.6430047154426575,1.2391642332077026
digits,asym_40,gce,5,0.575,0.2904088798496458,0.6822726130485535,1.476860761642456
digits,asym_40,mae,5,0.6444444444444445,0.2733010976678794,0.621924877166748,1.5746467113494873
digits,asym_40,sce,5,0.6138888888888889,0.2759709223277039,0.6627770066261292,1.639863133430481
digits,asym_40,hellinger,5,0.5611111111111111,0.2857745457026693,0.6803922653198242,1.4109143018722534
digits,asym_40,fisher_rao,5,0.5611111111111111,0.2917216111388472,0.6755192875862122,1.423839092254639
